id,year,origin,automatic-transmission,cylinders,displacement,drive,cityMPG,highwayMPG,class-size,guzzler,smog-score
19608,2004,3,0,4,1.6,1,29.4,41.7,0,0,1
19611,2004,3,0,4,1.8,1,26.2,40.6,0,0,1
19611,2004,3,0,4,1.8,1,26.2,40.6,0,0,2
19613,2004,3,1,6,3.0,2,19.864,31.1669,0,0,1
19614,2004,3,0,4,2.0,1,30.7,44.4951,0,0,5
19614,2004,3,0,4,2.0,1,30.7,44.4951,0,0,9
19615,2004,3,1,4,2.0,1,28.6074,43.3076,0,0,9
19616,2004,3,1,4,2.0,1,28.6538,43.3076,0,0,5
19617,2004,3,0,4,2.3,1,28.2623,41.1099,0,0,5
19618,2004,3,1,4,2.3,1,26.5801,36.8213,0,0,5
19621,2004,2,1,4,1.8,2,25.5,39.1,0,0,2
19622,2004,2,0,4,1.8,2,24.8,38.4,0,0,2
19623,2004,2,1,4,1.8,2,25.5,39.1,0,0,2
19624,2004,2,0,4,1.8,2,24.8,38.4,0,0,2
19626,2004,2,1,6,2.6,4,21.2,31.8,0,0,2
19631,2004,2,1,8,5.4,2,15.7842,26.9499,0,1,1
19633,2004,3,1,4,2.0,1,27.8344,39.7517,0,0,1
19633,2004,3,1,4,2.0,1,27.8344,39.7517,0,0,2
19634,2004,3,0,4,2.0,1,30.9796,44.917,0,0,1
19634,2004,3,0,4,2.0,1,30.9796,44.917,0,0,2
19635,2004,3,1,4,2.4,1,24.8,35.8,0,0,1
19636,2004,3,0,4,2.4,1,25.8,37.3,0,0,1
19637,2004,3,0,4,2.0,4,20.5,32.7,0,0,1
19638,2004,3,1,4,1.8,1,31.4443,44.2777,0,0,2
19638,2004,3,1,4,1.8,1,31.4443,44.2777,0,0,5
19638,2004,3,1,4,1.8,1,31.4443,44.2777,0,0,9
19639,2004,3,0,4,1.8,1,30.9,45.2,0,0,2
19639,2004,3,0,4,1.8,1,30.9,45.2,0,0,5
19639,2004,3,0,4,1.8,1,30.9,45.2,0,0,9
19640,2004,3,1,4,2.5,1,25.6127,35.7746,0,0,1
19640,2004,3,1,4,2.5,1,25.6127,35.7746,0,0,2
19640,2004,3,1,4,2.5,1,25.6127,35.7746,0,0,5
19641,2004,3,0,4,2.5,1,25.6,37.7,0,0,1
19642,2004,1,1,4,2.2,1,26.6,43.5,0,0,2
19644,2004,1,1,6,3.4,1,22.2222,37.1795,0,0,1
19644,2004,1,1,6,3.4,1,22.2222,37.1795,0,0,5
19645,2004,1,1,4,2.2,1,26.6,43.5,0,0,2
19647,2004,1,1,6,3.4,1,22.2222,37.1795,0,0,1
19647,2004,1,1,6,3.4,1,22.2222,37.1795,0,0,5
19648,2004,1,1,8,5.7,2,18.1,27.4,0,1,2
19649,2004,1,0,8,5.7,2,19.3,36.7,0,0,2
19650,2004,1,1,4,2.2,1,26.6,43.5,0,0,2
19652,2004,2,0,4,2.0,1,25.6964,42.8495,0,0,2
19653,2004,2,0,4,2.0,1,24.1594,38.5881,0,0,2
19655,2004,2,1,4,2.0,1,23.6272,38.4372,0,0,2
19656,2004,2,1,4,2.0,1,22.7037,37.5169,0,0,2
19657,2004,1,0,4,2.0,1,25.5,36.8,0,0,2
19658,2004,1,1,4,2.2,1,27.5,40.8,0,0,2
