logPowerJan11,logPowerFeb11,logPowerMar11,logPowerApr11,logPowerMay11,logPowerJun11,logPowerJul11,logPowerAug11,logPowerSep11,logPowerOct11,logPowerNov11,logPowerDec11,TempJan11,TempFeb11,TempMar11,TempApr11,TempMay11,TempJun11,TempJul11,TempAug11,TempSep11,TempOct11,TempNov11,TempDec11,Longitude,Latitude,logSqMeters,logAvgIncome,AvgYearBuilt,ResidentialCustomers,CommercialCustomers,PercentMXR,PercentMFR,PercentCOM,PercentIND,PercentNA,PercentOTH,PercentSFR
4.3538,4.3209,4.3702,4.3785,4.4176,4.4015,4.4925,4.4805,4.437,4.4361,4.3538,4.3713,57.38,52.52,58.46,62.96,63.32,67.1,75.02,76.46,73.4,67.64,56.3,52.88,-118.4611,34.278,6.3373,4.9035,1958,0,99,2,2,7,7,8,3,72
3.7306,3.7058,3.7802,3.7868,3.7971,3.8296,3.864,3.8629,3.8531,3.8378,3.8113,3.7997,50.18,44.42,50.36,53.6,56.12,63.5,73.76,78.26,75.92,67.1,51.44,48.02,-118.4639,34.3084,6.0564,4.7382,1981,82,18,0,2,0,22,7,5,65
2.2648,2.2279,2.2923,2.2945,2.29,2.2695,2.7846,2.7889,2.7709,2.776,2.7745,2.8122,58.1,54.86,59.54,63.14,64.04,66.38,72.5,72.14,70.88,67.1,59.54,54.14,-118.31,33.7348,5.4575,5.022,1951,84,16,20,2,6,0,12,4,55
0.7782,0.699,0.7782,0.699,0.7782,0.699,2.6107,2.6212,2.6096,2.6314,2.6201,2.6902,58.1,54.86,59.54,63.14,64.04,66.38,72.5,72.14,70.88,67.1,59.54,54.14,-118.3068,33.7263,5.3267,4.9413,1939,97,3,30,2,0,0,7,0,60
1.9191,1.8808,1.9243,1.959,1.9085,1.9031,2.7412,2.7185,2.7135,2.7582,2.7435,2.8075,58.1,54.86,59.54,63.14,64.04,66.38,72.5,72.14,70.88,67.1,59.54,54.14,-118.3243,33.7205,6.3309,5.0296,1964,95,5,8,2,0,0,2,0,89
1.6232,1.3424,1.6021,1.3424,1.5798,1.3424,2.5999,2.5899,2.5966,2.6138,2.6212,2.6355,58.1,54.86,59.54,63.14,64.04,66.38,72.5,72.14,70.88,67.1,59.54,54.14,-118.3053,33.7337,5.4901,4.827,1947,96,4,35,12,0,0,13,0,40
2.1303,2.0899,2.0682,2.0682,2.0253,2.0864,2.8555,2.8573,2.8338,2.7917,2.7235,2.734,50.18,44.42,50.36,53.6,56.12,63.5,73.76,78.26,75.92,67.1,51.44,48.02,-118.4666,34.3013,5.8046,4.7935,1973,90,10,8,7,5,0,6,0,74
2.6739,2.6107,2.6599,2.6117,2.6561,2.6474,2.6637,2.6395,2.6561,2.6675,2.6712,2.7033,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.2882,33.8832,5.37,4.5581,1957,87,14,25,38,8,0,11,0,18
3.3371,3.3145,3.3379,3.3185,3.33,3.3495,3.3424,3.3292,3.3032,3.3226,3.316,3.3659,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.2873,33.8995,5.8903,4.7849,1947,87,12,0,0,5,18,2,0,75
2.3979,2.3636,2.382,2.4183,2.4216,2.4742,2.7388,2.7551,2.7686,2.7839,2.7597,2.7818,56.66,52.7,58.46,63.14,63.68,67.1,74.48,76.1,73.4,67.82,57.74,53.24,-118.3578,34.1669,5.3539,4.7218,1957,82,17,9,47,5,5,9,2,24
2.6646,2.5977,2.6243,2.5587,2.5798,2.5786,2.5933,2.5977,2.5809,2.5899,2.6075,2.6866,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.2897,33.8998,5.261,4.8256,1950,99,1,6,0,0,0,0,0,94
3.0896,3.081,3.13,3.1092,3.1345,3.1229,3.0607,3.0492,3.0708,3.1014,3.0997,3.1129,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.2851,33.9132,5.8458,4.6324,1957,81,18,6,32,0,22,5,1,33
2.6284,2.5798,2.6042,2.5611,2.5366,2.5428,2.5599,2.5682,2.5478,2.5821,2.5717,2.6191,59.36,55.58,59.9,64.04,64.76,66.74,72.14,72.32,70.52,67.1,60.08,54.68,-118.2981,34.0089,5.1904,4.6823,1939,93,6,71,19,0,0,0,0,10
